"Black Friday Scratch Card","بطاقة خربشة جيلا فرايداي"
"Scratch to reveal your gift!","خربش الكوبون لتظهر هديتك"
"Scratch here","خربش هنا"
"You won:","ربحت:"
"Drawing gift...","جارٍ سحب الهدية..."
"Could not apply prize.","تعذّر تطبيق الهدية."
"Error. Please try again.","حدث خطأ. يرجى المحاولة مرة أخرى."
"Prize already applied to this cart.","تم تطبيق الهدية على هذه العربة بالفعل."
"Invalid form key.","مفتاح النموذج غير صالح."
"No active cart.","لا توجد عربة نشطة."
"Promotion not applicable.","العرض غير متاح."
"Prize product %1 must be Simple or Virtual.","يجب أن يكون منتج الهدية %1 بسيطًا أو افتراضيًا."
"Prize %1 is configurable but none of its child simples are salable.","الهدية %1 من نوع قابل للتهيئة لكن لا يوجد أي منتج فرعي بسيط قابل للبيع."
"Prize product %1 is not salable (stock/website).","منتج الهدية %1 غير قابل للبيع (المخزون/الموقع)."
"No valid prizes configured.","لا توجد هدايا صالحة مُعدّة."
"Could not add prize: %1","تعذّر إضافة الهدية: %1"
"Black Friday Gift","هدية جيلا فرايداي"
"Add %1 EGP more to get a free gift","خربش الكوبون واكسب هدية من الهدايا التالية"
"Click Here to Get A Free Gift","خربش واكسب"
"Get Gift","اعرض الكوبون"
"Congratulations, You Received ""%1""","مبروووك! انت كسبت ""%1"" مجانا"
